,0,1,2
0,sh.000001,1,上证综合指数
1,sh.000002,1,上证A股指数
2,sh.000003,1,上证B股指数
3,sh.000004,1,上证工业类指数
4,sh.000005,1,上证商业类指数
5,sh.000006,1,上证房地产指数
6,sh.000007,1,上证公用事业指数
7,sh.000008,1,上证综合业类指数
8,sh.000009,1,上证380
9,sh.000010,1,上证180指数
10,sh.000011,1,上证基金指数
11,sh.000012,1,上证国债指数
12,sh.000013,1,上证企业债指数
13,sh.000015,1,上证红利指数
14,sh.000016,1,上证50指数
15,sh.000017,1,新上证综指
16,sh.000018,1,上证180金融股指数
17,sh.000019,1,上证公司治理指数
18,sh.000020,1,上证中型企业综合指数
19,sh.000021,1,上证180公司治理指数
20,sh.000022,1,沪公司债
21,sh.000025,1,上证180基建指数
22,sh.000026,1,上证180资源指数
23,sh.000027,1,上证180交通运输指数
24,sh.000028,1,上证180成长指数
25,sh.000029,1,上证180价值指数
26,sh.000030,1,上证180相对成长指数
27,sh.000031,1,上证180相对价值指数
28,sh.000032,1,上证能源行业指数
29,sh.000033,1,上证原材料行业指数
30,sh.000034,1,上证工业行业指数
31,sh.000035,1,上证可选消费行业指数
32,sh.000036,1,上证主要消费行业指数
33,sh.000037,1,上证医药卫生行业指数
34,sh.000038,1,上证金融地产行业指数
35,sh.000039,1,上证信息技术行业指数
36,sh.000040,1,上证电信业务行业指数
37,sh.000041,1,上证公用事业行业指数
38,sh.000042,1,上证中央企业50指数
39,sh.000043,1,上证超级大盘指数
40,sh.000044,1,上证中盘
41,sh.000045,1,上证小盘
42,sh.000046,1,上证中小
43,sh.000047,1,上证全指
44,sh.000048,1,责任指数
45,sh.000049,1,上证民企
46,sh.000050,1,50等权
47,sh.000051,1,180等权
48,sh.000052,1,50基本
49,sh.000053,1,180基本
50,sh.000054,1,上证海外
51,sh.000056,1,上证国企
52,sh.000057,1,全指成长
53,sh.000058,1,全指价值
54,sh.000059,1,全R成长
55,sh.000060,1,全R价值
56,sh.000061,1,沪企债30
57,sh.000062,1,上证沪企
58,sh.000063,1,上证周期
59,sh.000064,1,非周期
60,sh.000065,1,上证龙头
61,sh.000066,1,上证商品
62,sh.000067,1,上证新兴
63,sh.000068,1,上证资源
64,sh.000069,1,消费80
65,sh.000070,1,能源等权
66,sh.000071,1,材料等权
67,sh.000072,1,工业等权
68,sh.000073,1,可选等权
69,sh.000074,1,消费等权
70,sh.000075,1,医药等权
71,sh.000076,1,金融等权
72,sh.000077,1,信息等权
73,sh.000078,1,电信等权
74,sh.000079,1,公用等权
75,sh.000090,1,上证流通
76,sh.000091,1,沪财中小
77,sh.000092,1,资源50
78,sh.000093,1,180分层
79,sh.000094,1,上证上游
80,sh.000095,1,上证中游
81,sh.000096,1,上证下游
82,sh.000097,1,高端装备
83,sh.000098,1,上证F200
84,sh.000099,1,上证F300
85,sh.000100,1,上证F500
86,sh.000101,1,上证5年期信用债指数
87,sh.000102,1,沪投资品
88,sh.000103,1,沪消费品
89,sh.000104,1,380能源
90,sh.000105,1,380材料
91,sh.000106,1,380工业
92,sh.000107,1,380可选
93,sh.000108,1,380消费
94,sh.000109,1,380医药
95,sh.000110,1,380金融
96,sh.000111,1,380信息
97,sh.000112,1,380电信
98,sh.000113,1,380公用
99,sh.000114,1,持续产业
100,sh.000115,1,380等权
101,sh.000116,1,上证信用债100指数
102,sh.000117,1,380成长
103,sh.000118,1,380价值
104,sh.000119,1,380R成长
105,sh.000120,1,380R价值
106,sh.000121,1,医药主题
107,sh.000122,1,上证农业主题指数
108,sh.000123,1,上证180动态指数
109,sh.000125,1,上证180稳定指数
110,sh.000126,1,消费50
111,sh.000128,1,380基本
112,sh.000129,1,180波动
113,sh.000130,1,380波动
114,sh.000131,1,上证高新
115,sh.000132,1,上证100
116,sh.000133,1,上证150
117,sh.000134,1,上证银行股指数
118,sh.000135,1,上证180高贝塔指数
119,sh.000136,1,上证180低贝塔指数
120,sh.000137,1,上证380高贝塔指数
121,sh.000138,1,上证380低贝塔指数
122,sh.000139,1,上证可转换债券指数
123,sh.000141,1,上证380动态指数
124,sh.000142,1,上证380稳定指数
125,sh.000145,1,上证优势资源产业指数
126,sh.000146,1,上证优势制造产业指数
127,sh.000147,1,上证优势消费产业指数
128,sh.000148,1,上证消费服务领先指数
129,sh.000149,1,上证180红利指数
130,sh.000150,1,上证380红利指数
131,sh.000151,1,上证国有企业红利指数
132,sh.000152,1,上证中央企业红利指数
133,sh.000153,1,上证民营企业红利指数
134,sh.000155,1,上证市值百强指数
135,sh.000158,1,上证环保产业指数
136,sh.000159,1,上证沪股通指数
137,sh.000160,1,上证一带一路主题指数
138,sh.000161,1,上证中国制造主题指数
139,sh.000162,1,上证互联网+主题指数
140,sh.000300,1,沪深300指数
141,sh.000802,1,500沪市
142,sh.000805,1,A股资源
143,sh.000806,1,消费服务
144,sh.000807,1,食品饮料
145,sh.000808,1,医药生物
146,sh.000814,1,细分医药
147,sh.000819,1,有色金属
